Event ID,Title,Organizer,Start (PT),Address,Description,URL,Fee
1411417781579,From Campus to Career: 5 Things You Should Never Do In Your New Job,Paul Korir,2025-07-10 23:00,Online,"Ready to kickstart your career journey? Join us to learn the top 5 no-gos in your new job - trust us, you don't want to miss this!",https://www.eventbrite.co.uk/e/from-campus-to-career-5-things-you-should-never-do-in-your-new-job-tickets-1411417781579,free
1455276102999,Optimisation fiscale pourquoi choisir la SARL?,Cabinet d’avocats CBA –Cabinet Benayoun & Associés,2025-07-11 00:00,Online,Optimisation fiscale pourquoi choisir la SARL?,https://www.eventbrite.fr/e/optimisation-fiscale-pourquoi-choisir-la-sarl-tickets-1455276102999,free
1467882218229,Leadership reflection to reach potential,True Wisdom Coaching,2025-07-11 01:00,Online,Reflect on your leadership successes and challenges in this online event designed to help you grow and succeed.,https://www.eventbrite.co.uk/e/leadership-reflection-to-reach-potential-tickets-1467882218229,free
1408793301689,Zukunft der Arbeit: Careers Open Evening,Hamburg Invest GmbH,2025-07-11 01:00,Online,Evidence-Based Recruiting: Schluss mit Bauchgefühl – So triffst Du datenbasierte Personalentscheidungen,https://www.eventbrite.de/e/zukunft-der-arbeit-careers-open-evening-tickets-1408793301689,free
1371064684379,Online Business Networking I Online & London UK  I IW2N Foster Group,IWant2Network,2025-07-11 01:30,Online,Join our Online Business Networking event to connect with professionals from around the UK in the Foster group!,https://www.eventbrite.co.uk/e/online-business-networking-i-online-london-uk-i-iw2n-foster-group-tickets-1371064684379,GBP 30.00
1415129974849,HR update,Unknown organizer,2025-07-11 02:00,Online,Get ready for the latest HR trends and updates in our online event - HR Update!,https://www.eventbrite.com/e/hr-update-tickets-1415129974849,free
1328128561279,ASK THE EXPERT - ONLINE NETWORKING SESSION,Stephanie Allen,2025-07-11 02:00,Online,"Get ready to connect with industry experts and network online in our ""Ask the Expert"" online session!",https://www.eventbrite.com/e/ask-the-expert-online-networking-session-tickets-1328128561279,free
1426607343969,Build a Growth Strategy for Your Charity That Works! (WATCH NOW),Third Sector Network,2025-07-11 02:00,Online,Build a growth strategy for your charity! Watch our online workshop to learn practical steps for sustainable growth. Access now!,https://www.eventbrite.co.uk/e/build-a-growth-strategy-for-your-charity-that-works-watch-now-tickets-1426607343969,Unknown
1411763916879,Promise Online Session: EDAN (Edinburgh Disability and Neurodiversity) Hub,The Promise Scotland,2025-07-11 02:00,Online,"The session will explore the journey of the EDAN Hub, where 7 partners have come together to provide easy access to early help for families",https://www.eventbrite.co.uk/e/promise-online-session-edan-edinburgh-disability-and-neurodiversity-hub-tickets-1411763916879,free
1405444926609,Oportunidades de Negocios para Emprendedores (On-line) - 11 de julio,KCN Club de Networking,2025-07-11 03:00,Online,Presentación del Modelo de Negocio de KCN,https://www.eventbrite.es/e/entradas-oportunidades-de-negocios-para-emprendedores-on-line-11-de-julio-1405444926609,free
1436131801879,HRi Coffee & Connect,HRi,2025-07-11 03:00,Online,"Join us for HRi Coffee & Connect, your Friday weekly rendezvous pick-me-up to energize and recharge with the HR Indies community!",https://www.eventbrite.co.uk/e/hri-coffee-connect-tickets-1436131801879,free
1480018748919,A Cuppa and Catch Up,Cinema For All,2025-07-11 03:00,Online,Join Cinema For All for an online coffee morning at 11am on Thursday 24th July!,https://www.eventbrite.co.uk/e/a-cuppa-and-catch-up-tickets-1480018748919,free
1354819665089,Strengthening workplace relationships: Building connection and trust,Platfform Wellbeing,2025-07-11 03:00,Online,"Explore how healthy workplace relationships boost wellbeing, trust, and collaboration—and how small shifts can build a more human workplace.",https://www.eventbrite.co.uk/e/strengthening-workplace-relationships-building-connection-and-trust-tickets-1354819665089,free
1461884308319,Irish Alumni Network-Sierra Leone Info Session on Ireland Fellowship 2025,Irish Alumni Network-SL,2025-07-11 04:00,Online,Join us for a virtual info session on Ireland Fellowship 2025 for Sierra Leonean applicants,https://www.eventbrite.com/e/irish-alumni-network-sierra-leone-info-session-on-ireland-fellowship-2025-tickets-1461884308319,free
1401729433469,Giving and Receiving Feedback,ProAction HR,2025-07-11 04:00,Online,"Learn how to give feedback with care, to help your team grow and develop. Understand your own blockers when it comes to giving feedback.",https://www.eventbrite.co.uk/e/giving-and-receiving-feedback-registration-1401729433469,GBP 30.00
1473809647329,Jesus & Journaling | 10-Day Morning Challenge,Rae & Co.,2025-07-11 04:00,Online,"10 quiet mornings with God. Open your journal, slow your heart, and become who you're called to be — one sunrise at a time.",https://www.eventbrite.com/e/jesus-journaling-10-day-morning-challenge-tickets-1473809647329,free
1459809151469,Les Cafés Business en Visioconférence : Votre networking à distance,Les Cafés Business,2025-07-11 04:30,Online,Échangez avec des professionnels de toute la France lors de nos visioconférences conviviales autour d’un café virtuel dans la bonne humeur !,https://www.eventbrite.fr/e/billets-les-cafes-business-en-visioconference-votre-networking-a-distance-1459809151469,free
