Keywords,Event ID,Title,Organizer,Start (PT),Address,Description,URL,Fee
professional,1226165025599,"Stakeholder Management  1 Day Training Bakersfield, CA",Mangates,2025-07-06 20:30,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/stakeholder-management-1-day-training-bakersfield-ca-tickets-1226165025599,"(USD 595.00, USD 795.00)"
professional,1268780188699,"Lead the Supply Chain Revolution 8-Hour Workshop in Bakersfield, CA",Mangates,2025-07-07 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Transform your supply chain strategies and stay ahead of industry trends. Join our immersive training session. Limited spots available!,https://www.eventbrite.sg/e/lead-the-supply-chain-revolution-8-hour-workshop-in-bakersfield-ca-tickets-1268780188699,"(USD 595.00, USD 795.00)"
professional,1126140148499,"Knowledge Management 1 Day Training in Los Angeles, CA",Mangates,2025-07-07 09:00,"PH: +1 469 666 9332, Los Angeles, CA, 90071, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/knowledge-management-1-day-training-in-los-angeles-ca-tickets-1126140148499,"(USD 595.00, USD 795.00, USD 795.00)"
"leaders, leadership",1373984848669,"Mastering Leadership Fundamentals - 1 Day Workshop in Irvine, CA",Mangates,2025-07-07 09:00,"300 Spectrum Center Drive Suite 400, +1 469 666 9332, Irvine, CA, 92618, US","Learn key leadership skills in 1 day—motivate teams, manage challenges, and coach for success. Lead with impact and confidence!",https://www.eventbrite.sg/e/mastering-leadership-fundamentals-1-day-workshop-in-irvine-ca-tickets-1373984848669,"(USD 595.00, USD 795.00)"
professional,1413451374109,Crafting Your Passion Program: Hi-Performing Women Class -Online- Lancaster,Rodolfo Alvarez,2025-07-07 16:00,"Lancaster, Lancaster, CA, 93534, US",This class aims to empower high-performing women to reconnect with their expertise and refine them into a Passion Program.,https://www.eventbrite.com/e/crafting-your-passion-program-hi-performing-women-class-online-lancaster-tickets-1413451374109,free
"career, professional",1400380639189,PMP Pass Guarantee In-Person Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-07 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person PMP exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/pmp-pass-guarantee-in-person-training-in-los-angeles-tickets-1400380639189,USD 1799.00
professional,1413403500919,Crafting Your Passion Program:Hi-Performing WomenClass-Online-Santa Clarita,Rodolfo Alvarez,2025-07-07 16:00,"Santa Clarita, Santa Clarita, CA, 91321, US",This class aims to empower high-performing women to reconnect with their expertise and refine them into a Passion Program.,https://www.eventbrite.com/e/crafting-your-passion-programhi-performing-womenclass-online-santa-clarita-tickets-1413403500919,free
"career, professional",1375066554079,Six Sigma Black Belt Course with Exam Voucher Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-07 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person Lean Six Sigma Black Belt exam prep course with pass guarantee, certified instructors and exam voucher.",https://www.eventbrite.com/e/six-sigma-black-belt-course-with-exam-voucher-training-in-los-angeles-tickets-1375066554079,USD 1999.00
"career, professional",1407754955969,CAPM Pass Guarantee In-Person Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-07 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person CAPM exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/capm-pass-guarantee-in-person-training-in-los-angeles-tickets-1407754955969,USD 1799.00
professional,1413223753289,Crafting Your Passion Program: Hi-Performing WomenClass -Online- Ontario,Rodolfo Alvarez,2025-07-07 16:00,"Ontario, Ontario, CA, 91710, US",This class aims to empower high-performing women to reconnect with their expertise and refine them into a Passion Program.,https://www.eventbrite.com/e/crafting-your-passion-program-hi-performing-womenclass-online-ontario-tickets-1413223753289,free
